County	Collections	Data_Period_Business_Key
Guilford	33598472.0	2019M07
Guilford	32331412.0	2019M08
Guilford	32644542.0	2019M09
Guilford	32884405.0	2019M10
Guilford	32844681.0	2019M11
Guilford	32247133.0	2019M12
Guilford	36647823.0	2020M01
Guilford	28638758.0	2020M02
Halifax	2234415.0	2018M10
Halifax	2139083.0	2018M11
Halifax	2688601.0	2018M12
Halifax	3156897.0	2019M01
Halifax	1831305.0	2019M02
Halifax	2596253.0	2019M03
Halifax	2259370.0	2019M04
Halifax	2110764.0	2019M05
Halifax	2219825.0	2019M06
Halifax	2225214.0	2019M07
Halifax	2106705.0	2019M08
Halifax	2162871.0	2019M09
Halifax	2155342.0	2019M10
Halifax	2072710.0	2019M11
Halifax	1993836.0	2019M12
Halifax	2376221.0	2020M01
Halifax	1861934.0	2020M02
Harnett	3604999.0	2018M10
Harnett	3787707.0	2018M11
Harnett	3869286.0	2018M12
Harnett	4115953.0	2019M01
Harnett	3568208.0	2019M02
Harnett	3340935.0	2019M03
Harnett	4165781.0	2019M04
Harnett	4006134.0	2019M05
Harnett	4084592.0	2019M06
Harnett	4095193.0	2019M07
Harnett	3996041.0	2019M08
Harnett	4226408.0	2019M09
Harnett	3933355.0	2019M10
Harnett	4146230.0	2019M11
Harnett	3972695.0	2019M12
Harnett	4528015.0	2020M01
Harnett	4004368.0	2020M02
Haywood	3183345.0	2018M10
Haywood	3245990.0	2018M11
Haywood	3115780.0	2018M12
Haywood	3399857.0	2019M01
Haywood	2634032.0	2019M02
Haywood	2503674.0	2019M03
Haywood	3186695.0	2019M04
Haywood	2988926.0	2019M05
Haywood	3228036.0	2019M06
Haywood	3541770.0	2019M07
Haywood	3468769.0	2019M08
Haywood	3309034.0	2019M09
Haywood	3521418.0	2019M10
Haywood	3626830.0	2019M11
Haywood	3357707.0	2019M12
Haywood	3682222.0	2020M01
Haywood	2949420.0	2020M02
Henderson	5861858.0	2018M10
Henderson	5483819.0	2018M11
Henderson	4637574.0	2018M12
Henderson	5599156.0	2019M01
Henderson	4569120.0	2019M02
Henderson	4371923.0	2019M03
Henderson	5501280.0	2019M04
Henderson	5704877.0	2019M05
Henderson	5630184.0	2019M06
Henderson	5772328.0	2019M07
Henderson	5880418.0	2019M08
Henderson	5999444.0	2019M09
Henderson	5729582.0	2019M10
Henderson	5905513.0	2019M11
Henderson	5476313.0	2019M12
Henderson	5945518.0	2020M01
Henderson	4937823.0	2020M02
Hertford	972060.0	2018M10
Hertford	925673.0	2018M11
Hertford	842108.0	2018M12
Hertford	968001.0	2019M01
Hertford	826310.0	2019M02
Hertford	839232.0	2019M03
Hertford	968981.0	2019M04
Hertford	914425.0	2019M05
Hertford	907898.0	2019M06
Hertford	962983.0	2019M07
Hertford	876488.0	2019M08
Hertford	972609.0	2019M09
Hertford	999181.0	2019M10
Hertford	941851.0	2019M11
Hertford	920715.0	2019M12
Hertford	1107088.0	2020M01
Hertford	943280.0	2020M02
Hoke	808179.0	2018M10
Hoke	904662.0	2018M11
Hoke	897497.0	2018M12
Hoke	998243.0	2019M01
Hoke	830599.0	2019M02
Hoke	806279.0	2019M03
Hoke	970274.0	2019M04
Hoke	862130.0	2019M05
Hoke	873957.0	2019M06
Hoke	897798.0	2019M07
Hoke	861820.0	2019M08
Hoke	906601.0	2019M09
Hoke	876765.0	2019M10
Hoke	929982.0	2019M11
Hoke	897965.0	2019M12
Hoke	1033694.0	2020M01
Hoke	888809.0	2020M02
Hyde	246252.0	2018M10
Hyde	275260.0	2018M11
