,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
91," ""37089""","Henderson, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,29841,28570,30631,32594,36007,41041,46099,42335,24810,18550,17807,18936,19973,19155,20983,23246,23223,27159
92," ""37091""","Hertford, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,14381,13524,15736,18805,19862,18011,20553,21603,15211,19853,18252,21550,21241,22511,17619,16415,19892,22358
93," ""37091""","Hertford, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,3058,2263,2350,(D),(D),(D),2871,3084,2962,2479,(D),(D),(D),(D),(D),(D),773,756
94," ""37093""","Hoke, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,8739,7500,8114,8276,10920,12306,13424,13346,12246,11329,12881,13508,12624,13390,12478,13690,24092,19156
95," ""37093""","Hoke, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,2635,1348,1082,779,(D),(D),(D),(D),(D),(D),(D),3317,2873,2527,1831,2073,(D),(D)
96," ""37095""","Hyde, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,3137,2911,2854,4032,3258,2706,3022,3731,3288,3105,5605,6951,6943,7809,4410,4606,4677,4695
97," ""37095""","Hyde, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),(D),354,525,466,658,453,(D),(D),(D),525,(D),(D),(D),177,218,291
98," ""37097""","Iredell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,144618,139288,135709,149628,158534,175276,210709,213268,163833,154511,156622,155779,173378,214704,230601,263691,307285,283966
99," ""37097""","Iredell, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,24817,25288,25882,29227,32583,37962,47621,46108,32845,27909,26575,27258,31659,38123,37834,41032,46619,49680
100," ""37099""","Jackson, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,32988,30202,32713,35867,42067,49423,51461,48565,32079,28521,24246,24126,22297,26425,28606,25845,28448,28458
101," ""37099""","Jackson, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,13847,14489,15557,18532,20176,21889,23557,21822,12045,7529,7489,8566,9379,10943,11323,10756,11937,12561
