,County	Collections	Data_Period_Business_Key
457,Robeson	4782694.0	2018M12
458,Robeson	4782694.0	2018M12
459,Rockingham	2739024.0	2020M02
460,Rockingham	3036493.0	2018M12
461,Rockingham	3036493.0	2018M12
462,Rowan	5745209.0	2018M12
463,Rowan	5664617.0	2020M02
464,Rowan	5745209.0	2018M12
465,Rutherford	2612221.0	2018M12
466,Rutherford	2612221.0	2018M12
467,Rutherford	2332400.0	2020M02
468,Sampson	2084930.0	2018M12
469,Sampson	2084930.0	2018M12
470,Sampson	1864284.0	2020M02
471,Scotland	1159918.0	2020M02
472,Scotland	1377289.0	2018M12
473,Scotland	1377289.0	2018M12
474,Stanly	2543569.0	2018M12
475,Stanly	2543569.0	2018M12
476,Stanly	2566440.0	2020M02
477,Stokes	1068623.0	2020M02
478,Stokes	1090645.0	2018M12
479,Stokes	1090645.0	2018M12
480,Surry	3928250.0	2018M12
481,Surry	3487575.0	2020M02
482,Surry	3928250.0	2018M12
483,Swain	562372.0	2018M12
484,Swain	562372.0	2018M12
485,Swain	481393.0	2020M02
486,Transylvania	1398977.0	2018M12
487,Transylvania	1274893.0	2020M02
488,Transylvania	1398977.0	2018M12
489,Tyrrell	80503.0	2020M02
490,Tyrrell	82098.0	2018M12
491,Tyrrell	82098.0	2018M12
492,Union	8327979.0	2020M02
493,Union	8641150.0	2018M12
494,Union	8641150.0	2018M12
495,Vance	1726660.0	2018M12
496,Vance	1564119.0	2020M02
497,Vance	1726660.0	2018M12
498,Wake	77149007.0	2020M02
499,Wake	81302367.0	2018M12
500,Wake	81302367.0	2018M12
501,Warren	329455.0	2020M02
502,Warren	321731.0	2018M12
503,Warren	321731.0	2018M12
504,Washington	341591.0	2018M12
505,Washington	341591.0	2018M12
506,Washington	292213.0	2020M02
507,Watauga	3639969.0	2018M12
508,Watauga	3639969.0	2018M12
509,Watauga	3581766.0	2020M02
510,Wayne	5182329.0	2018M12
511,Wayne	4868410.0	2020M02
512,Wayne	5182329.0	2018M12
513,Wilkes	2786054.0	2018M12
514,Wilkes	2480193.0	2020M02
515,Wilkes	2786054.0	2018M12
516,Wilson	4176954.0	2018M12
517,Wilson	4290614.0	2020M02
518,Wilson	4176954.0	2018M12
519,Yadkin	917872.0	2018M12
520,Yadkin	884633.0	2020M02
521,Yadkin	917872.0	2018M12
522,Yancey	511263.0	2020M02
523,Yancey	571828.0	2018M12
524,Yancey	571828.0	2018M12
